motif,count_all,count_low,count_high,freq_all,freq_low,freq_high,enrichment_low_vs_all,enrichment_low_vs_high,fisher_p_low_gt_high,enrichment_CI_low,enrichment_CI_high,bayes_median_enrichment,bayes_CI_low,bayes_CI_high,bayes_prob_enrichment_gt_1,enrichment_high_vs_low,bayes_prob_high_gt_low,model,metric,tier,enrichment_score,confidence
amide,2351,2319,32,0.5998979331462108,0.5978344934261408,0.8,0.9965603486759022,0.747293116782676,0.9980413962832091,0.6386591134346827,0.8744054389006694,0.7569789460301706,0.6667759783233608,0.920152998599952,0.004,1.338163001293661,0.996,MACE-OFF,Propers,worst_1_percent,1.338163001293661,0.996
ketone,188,182,6,0.047971421280939015,0.04691930910028358,0.15,0.9780679381064433,0.31279539400189055,0.9974692079952736,0.14757270293645852,0.6630017378683244,0.29222314060618826,0.15680738846864808,0.6699207806496148,0.00295,3.1969780219780217,0.99705,MACE-OFF,Propers,worst_1_percent,3.1969780219780217,0.99705
urea,177,167,10,0.04516458280173514,0.04305233307553493,0.25,0.9532321656667875,0.17220933230213972,0.9999991382318116,0.09867333161816559,0.30054781414200427,0.16770245237082812,0.10422864210544461,0.31061231409737317,0.0,5.8068862275449105,1.0,MACE-OFF,Propers,worst_1_percent,5.8068862275449105,1.0
alkyne,209,181,28,0.05332993110487369,0.04666151069863367,0.7,0.8749591408035663,0.06665930099804811,1.0,0.05202979623326006,0.08540226430308202,0.06769307054562301,0.05394862361642142,0.08902540162387158,0.0,15.001657458563534,1.0,MACE-OFF,Propers,worst_1_percent,15.001657458563534,1.0
