motif,count_all,count_low,count_high,freq_all,freq_low,freq_high,enrichment_low_vs_all,enrichment_low_vs_high,fisher_p_low_gt_high,enrichment_CI_low,enrichment_CI_high,bayes_median_enrichment,bayes_CI_low,bayes_CI_high,bayes_prob_enrichment_gt_1,enrichment_high_vs_low,bayes_prob_high_gt_low,model,metric,tier,enrichment_score,confidence
ketone,3256,3209,47,0.043812317504743195,0.04361654411265002,0.06317204301075269,0.9955315444778291,0.6904406131874812,0.9945329540996646,0.5224614038648331,0.9124276679814515,0.6828586226165533,0.5251635612279917,0.9085382615851284,0.0051,1.4483504893830188,0.9949,OpenFF,TFD,worst_1_percent,1.4483504893830188,0.9949
imide,961,943,18,0.01293109248220461,0.012817201962676526,0.024193548387096774,0.9911925059939973,0.5297776811239631,0.9956051340322647,0.3341929450630036,0.8398273978050953,0.5115842877030385,0.33679794929444334,0.8351503438580542,0.004,1.88758423699244,0.996,OpenFF,TFD,worst_1_percent,1.88758423699244,0.996
urea,3219,3171,48,0.04331445026037111,0.04310005029018798,0.06451612903225806,0.9950501514184219,0.6680507794979137,0.9972459647061018,0.507060505478537,0.8801550094432682,0.6592180731254447,0.5080474126968829,0.8809009136105883,0.0031,1.496892198451694,0.9969,OpenFF,TFD,worst_1_percent,1.496892198451694,0.9969
sulfide,4905,4818,87,0.06600104955797462,0.06548597991110869,0.11693548387096774,0.9921960385430917,0.5600180351018951,0.9999998974393186,0.45880488892394344,0.6835589750905565,0.5566523995013933,0.4611033302708787,0.6854713968597395,0.0,1.785656777675116,1.0,OpenFF,TFD,worst_1_percent,1.785656777675116,1.0
sulfoxide,9605,9410,195,0.12924364546469852,0.12790018077283785,0.2620967741935484,0.9896051779796972,0.48798838202559675,1.0,0.43192600709650975,0.5513274428477545,0.48676636278013874,0.43314492112085706,0.5518441129201921,0.0,2.0492291145315553,1.0,OpenFF,TFD,worst_1_percent,2.0492291145315553,1.0
aniline,6217,6066,151,0.08365515292597925,0.08244872439617795,0.20295698924731181,0.9855785509008778,0.4062374235149431,1.0,0.3516063927424417,0.4693567798266568,0.4050965113972276,0.3519884865481495,0.46968973012881404,0.0,2.4616146669786465,1.0,OpenFF,TFD,worst_1_percent,2.4616146669786465,1.0
disulfide,57,49,8,0.0007669846737623962,0.00066600519212211,0.010752688172043012,0.8683422432094535,0.061938482867356225,0.9999999943571521,0.029436741552485265,0.13032609784848573,0.05815623549882345,0.03021388204573129,0.12756680105597043,0.0,16.145051569014704,1.0,OpenFF,TFD,worst_1_percent,16.145051569014704,1.0
enoxide,34,23,11,0.00045749962996353456,0.00031261468201650063,0.01478494623655914,0.6833113330417729,0.021144120310934225,0.9999999999999996,0.010344826060196127,0.04321714266839835,0.02057936123560227,0.010590168806104083,0.04258563050590067,0.0,47.29447171575502,1.0,OpenFF,TFD,worst_1_percent,47.29447171575502,1.0
