motif,count_all,count_low,count_high,freq_all,freq_low,freq_high,enrichment_low_vs_all,enrichment_low_vs_high,fisher_p_low_gt_high,enrichment_CI_low,enrichment_CI_high,bayes_median_enrichment,bayes_CI_low,bayes_CI_high,bayes_prob_enrichment_gt_1,enrichment_high_vs_low,bayes_prob_high_gt_low,model,metric,tier,enrichment_score,confidence
halogen,1474,1448,26,0.37611635621331974,0.37329208558906934,0.65,0.9924909656876274,0.5742955162908759,0.9998869001445302,0.4558256983163358,0.7235558268215875,0.5776954552596545,0.4771861671851061,0.7565834808413151,0.00025,1.7412638121546962,0.99975,MACE-OFF,Impropers,worst_1_percent,1.7412638121546962,0.99975
sulfoxide,588,573,15,0.15003827507017095,0.1477184841453983,0.375,0.9845386723908435,0.3939159577210621,0.9998995447607572,0.2621654662557914,0.591877274926456,0.3898128681466839,0.27476456908620384,0.6151637247141432,0.00015,2.5386125654450264,0.99985,MACE-OFF,Impropers,worst_1_percent,2.5386125654450264,0.99985
sulfone,551,536,15,0.140597091094667,0.13817994328435163,0.375,0.9828079813636552,0.368479848758271,0.999955318618619,0.24509756835987126,0.5539728519116085,0.36378673004629286,0.25812638284232536,0.5827199964528231,0.00015,2.7138526119402986,0.99985,MACE-OFF,Impropers,worst_1_percent,2.7138526119402986,0.99985
primary_amine,1507,1475,32,0.38453687165093137,0.3802526424336169,0.8,0.9888587297261743,0.4753158030420211,0.9999999878466996,0.40500689276384805,0.5578302904420298,0.4819029608882364,0.4228049835846574,0.5845368240224537,0.0,2.1038644067796612,1.0,MACE-OFF,Impropers,worst_1_percent,2.1038644067796612,1.0
secondary_amine,1138,1106,32,0.2903801990303649,0.2851250322248002,0.8,0.9819024615896238,0.3564062902810002,0.9999999999973563,0.3028702385930165,0.41940549966864105,0.3611140084575609,0.31525650651866394,0.4412198162541326,0.0,2.805786618444847,1.0,MACE-OFF,Impropers,worst_1_percent,2.805786618444847,1.0
sulfonamide,448,433,15,0.11431487624393978,0.11162670791441093,0.375,0.976484527492358,0.2976712211050958,0.9999969813941229,0.19758612327940528,0.4484533346954665,0.29485411215552515,0.20821573439503951,0.46680160771110746,0.0,3.3594110854503465,1.0,MACE-OFF,Impropers,worst_1_percent,3.3594110854503465,1.0
alkene,317,305,12,0.08088798162796632,0.07862851250322248,0.3,0.9720666892748545,0.26209504167740827,0.999991946761378,0.1612924879556898,0.4258959096145502,0.2568922302329718,0.17008222327737835,0.43849052942289596,0.0,3.815409836065574,1.0,MACE-OFF,Impropers,worst_1_percent,3.815409836065574,1.0
pyrrole,224,211,13,0.05715743812196989,0.05439546274813096,0.325,0.9516777612050233,0.1673706546096337,0.9999999836600852,0.10507954010466512,0.2665879199371718,0.16462031981482345,0.1107080870929674,0.2759464607717942,0.0,5.974763033175356,1.0,MACE-OFF,Impropers,worst_1_percent,5.974763033175356,1.0
