motif,count_all,count_low,count_high,freq_all,freq_low,freq_high,enrichment_low_vs_all,enrichment_low_vs_high,fisher_p_low_gt_high,enrichment_CI_low,enrichment_CI_high,bayes_median_enrichment,bayes_CI_low,bayes_CI_high,bayes_prob_enrichment_gt_1,model,metric,tier,enrichment_score,confidence
aldehyde,78,12,66,0.0010477815241191246,0.016107382550335572,0.0008955466905479117,15.372844605059372,17.98608907870653,2.1984421303050494e-11,9.764509485270347,33.13012300670725,18.777764364178502,9.794228237160592,32.793759079968986,1.0,Espaloma,Angles,best_1_percent,17.98608907870653,1.0
indazole,2144,53,2091,0.028800558816812864,0.07114093959731543,0.028372547423267933,2.470123585094661,2.507386401933502,2.7341098277527232e-09,1.9277434160125788,3.261319175767326,2.5283494333281715,1.9255014418238598,3.2418530764543543,1.0,Espaloma,Angles,best_1_percent,2.507386401933502,1.0
indole,3068,70,2998,0.04121273994868557,0.09395973154362416,0.040679529973676354,2.279871021936771,2.3097546015016723,2.207740487469851e-10,1.8430358392146127,2.8946622771218493,2.330185865024439,1.8429761206087836,2.869137926112553,1.0,Espaloma,Angles,best_1_percent,2.3097546015016723,1.0
imidazole,10005,149,9856,0.13439813011297233,0.2,0.1337349724551548,1.4881159420289858,1.49549512987013,3.859106692257558e-07,1.2939103623459962,1.7284857966592488,1.5001949663987437,1.2898045949756576,1.724988493802166,1.0,Espaloma,Angles,best_1_percent,1.49549512987013,1.0
pyrrole,7533,111,7422,0.10119151565627393,0.14899328859060404,0.1007082960188879,1.472389138796009,1.4794539723188274,2.4896542591020383e-05,1.2444640638415099,1.7588166021069713,1.4874304458953782,1.2425551608134147,1.7545578174746883,0.9999,Espaloma,Angles,best_1_percent,1.4794539723188274,0.9999
disulfide,57,4,53,0.000765686498394745,0.005369127516778523,0.0007191511302884746,7.012174732132344,7.465923768519691,0.0025824724597128352,2.7090727302973723,20.575312391568286,8.550329301080914,2.8827294259669496,19.765987876109147,0.9997,Espaloma,Angles,best_1_percent,7.465923768519691,0.9997
thiazole,2969,46,2923,0.03988286339884207,0.06174496644295302,0.03966186327987191,1.5481578096708493,1.556784309583562,0.002629426331241534,1.174044403601412,2.064297891230673,1.5760430267185779,1.1778478727563786,2.047130984706827,0.99855,Espaloma,Angles,best_1_percent,1.556784309583562,0.99855
oxazole,1346,24,1322,0.018080947839286435,0.032214765100671144,0.017938071589459686,1.7816967001406105,1.7958878656499713,0.005360804515660457,1.207200996181539,2.671645596872752,1.8434524011078703,1.2064197701818122,2.6550874089335155,0.9973,Espaloma,Angles,best_1_percent,1.7958878656499713,0.9973
thiol,37,2,35,0.0004970245691334309,0.0026845637583892616,0.00047491112377540774,5.401269726101941,5.652770853307766,0.05290947952812116,1.3620588878799555,23.459938923596702,7.512735195959726,1.6582441600192928,21.3025800085869,0.9938,Espaloma,Angles,best_1_percent,5.652770853307766,0.9938
